TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes
LA GUERRE DES BOUTONS,2012-02-23,Gulli,France,1.650264,5.8,Thursday,oui,tt0054949,7.4,2902
LA FERME EN FOLIE,2012-04-17,Gulli,Etats-Unis,1.060884,3.8,Tuesday,oui,tt0414853,5.6,35693
GEORGE DE LA JUNGLE,2012-06-12,Gulli,Etats-Unis,1.001946,3.8,Tuesday,non,tt0119190,5.5,86073
SOURIS CITY,2012-12-30,Gulli,Etats-Unis,1.001946,3.8,Sunday,oui,tt0424095,6.6,142450
"SPIRIT, L'ETALON DES PLAINES",2012-02-21,Gulli,Etats-Unis,0.943008,3.1,Tuesday,oui,tt0166813,7.2,88450
ERAGON,2012-02-20,NRJ12,Etats-Unis,1.591326,5.7,Monday,oui,tt0449010,5.1,131870
FAST AND FURIOUS IV,2012-01-30,NRJ12,Etats-Unis,1.237698,4.5,Monday,non,tt1013752,6.5,318747
GARFIELD LE FILM,2012-03-06,NRJ12,Etats-Unis,1.237698,4.2,Tuesday,non,tt0356634,5.1,96531
XXX 2 : THE NEXT LEVEL,2012-05-14,NRJ12,Etats-Unis,1.119822,4.1,Monday,non,tt0329774,4.5,74574
LA NEUVIEME PORTE,2012-11-26,NRJ12,France/Espagne,1.060884,4.2,Monday,non,tt0142688,6.7,202118
LA MORT DANS LA PEAU,2012-04-19,TFX,Etats-Unis,1.827078,7.0,Thursday,oui,tt0372183,7.7,495575
PHENOMENES,2012-01-05,TFX,Etats-Unis,1.76814,6.3,Thursday,non,tt0949731,5.0,220897
"SHOOTER, TIREUR D'ELITE",2012-02-09,TFX,Etats-Unis,1.47345,5.7,Thursday,non,tt0822854,7.1,363135
RETOUR VERS LE FUTUR,2012-02-14,TFX,Etats-Unis,1.237698,4.6,Tuesday,oui,tt0088763,8.5,1351822
300,2012-05-24,TFX,Etats-Unis,1.237698,5.1,Thursday,non,tt0416449,7.6,881113
THE BODYGUARD,2012-02-13,TMC,Etats-Unis,2.06283,7.5,Monday,oui,tt0103855,6.4,151812
ARMAGEDDON,2012-02-27,TMC,Etats-Unis,1.886016,7.4,Monday,oui,tt0120591,6.7,460427
JURASSIC PARK III,2012-03-22,TMC,Etats-Unis,1.76814,6.8,Thursday,non,tt0163025,5.9,348040
LES VISITEURS II,2012-04-26,TMC,France,1.709202,6.4,Thursday,non,tt0120882,6.1,13680
JE SUIS UNE LEGENDE,2012-04-16,TMC,Etats-Unis,1.650264,5.9,Monday,oui,tt0480249,7.2,837867
PRETTY WOMAN,2012-06-17,W9,Etats-Unis,1.886016,7.8,Sunday,non,tt0100405,7.1,377765
ASTERIX CHEZ LES BRETONS,2012-07-16,W9,France,1.591326,6.6,Monday,oui,tt1597522,5.3,17095
ASTERIX ET LA SURPRISE DE CESAR,2012-07-09,W9,France,1.591326,6.5,Monday,oui,tt0088748,6.8,10799
WANTED : CHOISIS TON DESTIN,2012-02-06,W9,Etats-Unis,1.591326,5.7,Monday,non,tt0493464,6.7,416336
NANNY MCPHEE,2012-12-27,W9,Royaume-Uni,1.591326,6.2,Thursday,oui,tt0396752,6.6,87674
GRAN TORINO,2012-03-11,TF1,Etats-Unis,9.489018,36.9,Sunday,non,tt1205489,8.1,830020
L'AGE DE GLACE 3 : LE TEMPS DES DINOSAURES,2012-10-28,TF1,Etats-Unis,9.194328,33.6,Sunday,oui,tt1080016,6.9,271759
LES BRONZES FONT DU SKI,2012-02-26,TF1,France,9.076452,32.6,Sunday,oui,tt0078907,7.4,9478
