TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
JURASSIC PARK;18/02/2008;M6;Etats-Unis;4,46511;17,4
HOME;05/06/2009;France 2;France;8,3083;33
CASINO ROYALE;06/12/2009;France 2;Royaume-Uni;5,9262;22,8
SAINT JACQUES… LA MECQUE;08/03/2009;France 2;France;5,8681;22,5
LA FOLIE DES GRANDEURS;27/12/2009;France 2;France/Espagne/Italie;5,4033;21,9
UN CRIME AU PARADIS;11/01/2009;France 2;France;5,4033;19,5
JE VAIS BIEN, NE T'EN FAIS PAS;28/04/2009;France 3;France;5,3452;20,2
DANSE AVEC LES LOUPS;21/04/2009;France 3;Etats-Unis;4,7642;21,8
LE PASSAGER DE L'ÉTÉ;03/02/2009;France 3;France;4,2994;15,8
CRÉANCE DE SANG;22/10/2009;France 3;Etats-Unis;4,2413;16,8
LE TATOUÉ;21/12/2009;France 3;France/Italie;4,1832;14,7
LE DEUXIÈME SOUFFLE;17/08/2009;Arte;France;1,8011;10,3
UN MONDE PARFAIT;05/10/2009;Arte;Etats-Unis;1,6268;6,5
DERNIER DOMICILE CONNU;03/08/2009;Arte;France/Italie;1,5687;7,2
DEUX HOMMES DANS LA VILLE;26/01/2009;Arte;France/Italie;1,5106;5,8
LES AVENTURIERS;10/08/2009;Arte;France/Italie;1,5106;7,6
ASTÉRIX ET LES VIKINGS;27/10/2009;W9;France;1,5106;5,6
MR. AND MRS. SMITH;09/03/2009;W9;Etats-Unis;1,4525;5,8
OSS 117 : LE CAIRE, NID D'ESPIONS;13/10/2009;W9;France;1,2201;4,7
ROCKY IV;08/12/2009;W9;Etats-Unis;1,2201;4,5
LES CHEVALIERS DU CIEL;26/11/2009;W9;France;1,2201;4,7
LA GRANDE VADROUILLE;20/12/2009;TF1;France/Royaume-Uni;9,0636;33,1
ASTÉRIX ET OBÉLIX : MISSON CLÉOPÂTRE;17/02/2009;TF1;France;9,0055;35,5
LA MAISON DU BONHEUR;29/03/2009;TF1;France;8,8312;34
LA GUERRE DES MONDES;15/02/2009;TF1;Etats-Unis;8,4245;32,2
LE DÎNER DE CONS;15/11/2009;TF1;France;8,2502;30,1
NOS JOURS HEUREUX;23/04/2009;M6;France;4,8804;20,6
OSS 117 : LE CAIRE, NID D'ESPIONS;06/04/2009;M6;France;4,648;17,6
MILLION DOLLAR BABY;05/11/2009;M6;Etats-Unis;4,4156;19
DA VINCI CODE;01/10/2009;M6;Etats-Unis;4,2994;19,4
SIXIÈME SENS;26/03/2009;M6;Etats-Unis;4,1251;17,2
LES CHORISTES;10/01/2010;France 2;France / CH;6,246339;22,4
ZODIAC;05/12/2010;France 2;Etats-Unis;5,662569;22,7
LA FAILLE;16/05/2010;France 2;Etats-Unis;5,370684;20,8
DANS LA VALLÉE D'ELAH;14/11/2010;France 2;Etats-Unis;5,020422;19,6
LE GOÛT DE LA VIE;21/11/2010;France 2;Etats-Unis;4,903668;17,9
CAMPING;27/04/2010;France 3;France;7,121994;27,4
LE MUR DE L'ATLANTIQUE;18/05/2010;France 3;France / Italie;3,969636;15,4
GLADIATOR;13/05/2010;France 3;Etats-Unis;3,911259;17,6
LA SOUPE AUX CHOUX;05/07/2010;France 3;France;3,852882;16,1
LES INCORRUPTIBLES;09/09/2010;France 3;Etats-Unis;3,736128;15,2
RIDICULE;20/12/2010;Arte;France;1,634556;5,8
LA JEUNE FILLE À LA PERLE;16/11/2010;Arte;Royaume-Uni;1,576179;6
LE FILS DU DÉSERT;24/05/2010;Arte;Etats-Unis;1,517802;7
MÉLODIE EN SOUS-SOL;28/12/2010;Arte;France / Italie;1,459425;5,8
LES DIABOLIQUES;29/03/2010;Arte;France;1,342671;5,1
STAR WARS ÉPISODE 3 : LA REVANCHE DES SITH;23/12/2010;W9;Etats-Unis;1,984818;8,3
STAR WARS ÉPISODE 1 : LA MENACE FANTÔME;09/12/2010;W9;Etats-Unis;1,75131;7,4
STAR WARS ÉPISODE 2 : L'ATTAQUE DES CLONES;16/12/2010;W9;Etats-Unis;1,692933;7
LE RETOUR DU JEDI;02/12/2010;W9;Etats-Unis;1,576179;7
HELLBOY;27/05/2010;W9;Etats-Unis;1,459425;6
BIENVENUE CHES LES CH'TIS;28/11/2010;TF1;France;14,419119;51
ASTÉRIX AUX JEUX OLYMPIQUES;24/10/2010;TF1;France / DE / Espagne / Italie;10,099221;38,4
RATATOUILLE;31/10/2010;TF1;Etats-Unis;8,639796;35,9
L'AGE DE GLACE 2;14/02/2010;TF1;Etats-Unis;7,764141;28,8
HARRY POTTER ET L'ORDRE DU PHÉNIX;21/11/2010;TF1;Royaume-Uni;7,472256;30,4
NE LE DIS À PERSONNE;18/10/2010;M6;France;5,429061;23
NANNY MCPHEE;23/12/2010;M6;Royaume-Uni;4,962045;19,7
STAR WARS ÉPISODE 3 : LA REVANCHE DES SITH;08/02/2010;M6;Etats-Unis;4,67016;18,7
LA GUERRE DES ÉTOILES;15/02/2010;M6;Etats-Unis;4,553406;17,6
STAR WARS ÉPISODE 2 : L'ATTAQUE DES CLONES;01/02/2010;M6;Etats-Unis;4,378275;17,9
QUANTUM OF SOLACE;04/12/2011;France 2;Royaume-Uni;6,322644;21,9
LE PREMIER JOUR DU RESTE DE TA VIE;13/02/2011;France 2;France;4,917612;18,4
MON PETIT DOIGT M'A DIT…;11/12/2011;France 2;France;4,859069;17,1
LE PÈRE NOËL EST UNE ORDURE;18/12/2011;France 2;France;4,800526;15,7
